office,ts,method,start,end,timezone,type,length,units,firstTime,lastTime
NWDM,FTPK.Stor.Inst.~1Day.0.Best-MRBWM,get,15Mar2018 0100,16Mar2018 0000,US/Central,,,,,
NWDM,FTPK.Flow-In.Ave.~1Day.1Day.Best-MRBWM,get,15Mar2018 0100,16Mar2018 0000,US/Central,,,,,
NWDM,FTPK.Flow-Out.Ave.~1Day.1Day.Best-MRBWM,get,15Mar2018 0100,16Mar2018 0000,US/Central,,,,,
NWDM,GARR.Stor.Inst.~1Day.0.Best-MRBWM,get,15Mar2018 0100,16Mar2018 0000,US/Central,,,,,
NWDM,GARR.Flow-In.Ave.~1Day.1Day.Best-MRBWM,get,15Mar2018 0100,16Mar2018 0000,US/Central,,,,,
NWDM,GARR.Flow-Out.Ave.~1Day.1Day.Best-MRBWM,get,15Mar2018 0100,16Mar2018 0000,US/Central,,,,,
NWDM,OAHE.Stor.Inst.~1Day.0.Best-MRBWM,get,15Mar2018 0100,16Mar2018 0000,US/Central,,,,,
NWDM,OAHE.Flow-In.Ave.~1Day.1Day.Best-MRBWM,get,15Mar2018 0100,16Mar2018 0000,US/Central,,,,,
NWDM,OAHE.Flow-Out.Ave.~1Day.1Day.Best-MRBWM,get,15Mar2018 0100,16Mar2018 0000,US/Central,,,,,
NWDM,BEND.Stor.Inst.~1Day.0.Best-MRBWM,get,15Mar2018 0100,16Mar2018 0000,US/Central,,,,,
NWDM,BEND.Flow-In.Ave.~1Day.1Day.Best-MRBWM,get,15Mar2018 0100,16Mar2018 0000,US/Central,,,,,
NWDM,BEND.Flow-Out.Ave.~1Day.1Day.Best-MRBWM,get,15Mar2018 0100,16Mar2018 0000,US/Central,,,,,
NWDM,FTRA.Stor.Inst.~1Day.0.Best-MRBWM,get,15Mar2018 0100,16Mar2018 0000,US/Central,,,,,
NWDM,FTRA.Flow-In.Ave.~1Day.1Day.Best-MRBWM,get,15Mar2018 0100,16Mar2018 0000,US/Central,,,,,
NWDM,FTRA.Flow-Out.Ave.~1Day.1Day.Best-MRBWM,get,15Mar2018 0100,16Mar2018 0000,US/Central,,,,,
NWDM,GAPT.Stor.Inst.~1Day.0.Best-MRBWM,get,15Mar2018 0100,16Mar2018 0000,US/Central,,,,,
NWDM,GAPT.Flow-In.Ave.~1Day.1Day.Best-MRBWM,get,15Mar2018 0100,16Mar2018 0000,US/Central,,,,,
NWDM,GAPT.Flow-Out.Ave.~1Day.1Day.Best-MRBWM,get,15Mar2018 0100,16Mar2018 0000,US/Central,,,,,
NWDM,TIBR.Stor.Inst.~1Day.0.Best-NWO,get,15Mar2018 0100,16Mar2018 0000,Etc/GMT+6,,,,,
NWDM,TIBR.Flow-In.Ave.1Day.1Day.Raw-USBR,get,15Mar2018 0100,16Mar2018 0000,Etc/GMT+6,,,,,
NWDM,TIBR.Flow-Out.Ave.1Day.1Day.Raw-USBR,get,15Mar2018 0100,16Mar2018 0000,Etc/GMT+6,,,,,
NWDM,CLCA.Stor.Inst.~1Day.0.Best-NWO,get,15Mar2018 0100,16Mar2018 0000,Etc/GMT+6,,,,,
NWDM,CLCA.Flow-In.Ave.1Day.1Day.Raw-USBR,get,15Mar2018 0100,16Mar2018 0000,Etc/GMT+6,,,,,
NWDM,CLCA.Flow-Out.Ave.1Day.1Day.Raw-USBR,get,15Mar2018 0100,16Mar2018 0000,Etc/GMT+6,,,,,
NWDM,CAFE.Stor.Inst.~1Day.0.Best-NWO,get,15Mar2018 0100,16Mar2018 0000,Etc/GMT+6,,,,,
NWDM,CAFE.Flow-In.Ave.1Day.1Day.Raw-USBR,get,15Mar2018 0100,16Mar2018 0000,Etc/GMT+6,,,,,
NWDM,CAFE.Flow-Out.Ave.1Day.1Day.Raw-USBR,get,15Mar2018 0100,16Mar2018 0000,Etc/GMT+6,,,,,
NWDM,BOYN.Stor.Inst.~1Day.0.Best-NWO,get,15Mar2018 0100,16Mar2018 0000,Etc/GMT+6,,,,,
NWDM,BOYN.Flow-In.Ave.1Day.1Day.Raw-USBR,get,15Mar2018 0100,16Mar2018 0000,Etc/GMT+6,,,,,
NWDM,BOYN.Flow-Out.Ave.1Day.1Day.Raw-USBR,get,15Mar2018 0100,16Mar2018 0000,Etc/GMT+6,,,,,
NWDM,YETL.Stor.Inst.~1Day.0.Best-NWO,get,15Mar2018 0100,16Mar2018 0000,Etc/GMT+6,,,,,
NWDM,YETL.Flow-In.Ave.1Day.1Day.Raw-USBR,get,15Mar2018 0100,16Mar2018 0000,Etc/GMT+6,,,,,
NWDM,YETL.Flow-Out.Ave.1Day.1Day.Raw-USBR,get,15Mar2018 0100,16Mar2018 0000,Etc/GMT+6,,,,,
NWDM,JATO.Stor.Inst.~1Day.0.Best-NWO,get,15Mar2018 0100,16Mar2018 0000,Etc/GMT+6,,,,,
NWDM,JATO.Flow-In.Ave.1Day.1Day.Raw-USBR,get,15Mar2018 0100,16Mar2018 0000,Etc/GMT+6,,,,,
NWDM,JATO.Flow-Out.Ave.1Day.1Day.Raw-USBR,get,15Mar2018 0100,16Mar2018 0000,Etc/GMT+6,,,,,
NWDM,BOHA.Stor.Inst.~1Day.0.Best-NWO,get,15Mar2018 0100,16Mar2018 0000,Etc/GMT+6,,,,,
NWDM,BOHA.Flow-In.Ave.~1Day.1Day.Best-NWO,get,15Mar2018 0100,16Mar2018 0000,Etc/GMT+6,,,,,
NWDM,BOHA.Flow-Out.Ave.~1Day.1Day.Best-NWO,get,15Mar2018 0100,16Mar2018 0000,Etc/GMT+6,,,,,
